gene,pearson_r,p,percent_cell,imp_sumup_norm
PLCD1,0.0210887991510028,0.2733324415335229,0.1139792155548106,0.37638816
ACACB,0.0210766385504902,0.2736092031751048,0.0295005028494803,0.011532137
DIEXF,0.0210493905997871,0.274230030913705,0.1515253100905129,0.3401478
TOR3A,0.0210489339824802,0.2742404428448856,0.0673818303721086,0.11949559
ZCWPW1,0.0210458564589459,0.2743106245431596,0.0724103251759973,0.03935211
SHISA8,0.0210130601978087,0.275059291854918,0.0787797519275896,0.13540913
PDLIM5,0.0210125411238093,0.2750711523815053,0.1776734830707341,0.56811464
TYW5,0.0209973052389341,0.2754194385610127,0.1759973181361045,0.3046907
KIF18A,0.0209810760317791,0.2757907623825751,0.011397921555481,0.0074072466
ATP5O-1,0.0209674128014243,0.2761036412544232,0.0593362386858866,0.25734478
PFN4,0.0209488082750592,0.276530061387668,0.1186724773717733,0.08694269
FBXL4,0.0209421829937511,0.2766820226886899,0.1518605430774388,0.14270388
MOSPD3,0.0209289389723395,0.276985965757418,0.1518605430774388,0.17940517
AC133505.1,0.0208911317405637,0.2778548718680629,0.0150854844116661,0.0075420025
GM36431,0.0208857109213454,0.2779796079247761,0.0080455916862219,0.007751255
MMS22L,0.020877700945805,0.2781639916405214,0.011397921555481,0.0060623786
GM43517,0.0208766530331563,0.2781881199681891,0.0737512571237009,0.027055435
THNSL2,0.0208668368879823,0.2784142071470787,0.062018102581294,0.08901077
PRSS41,0.0208520926984307,0.278754032684276,0.0070398927254441,0.0058356174
A230108P19RIK,0.0208511351837982,0.2787761113242422,0.0043580288300368,0.005094205
RBPJL,0.0208415751661808,0.2789966140786622,0.0063694267515923,0.0074130427
OXNAD1,0.0208231650295621,0.2794215796264082,0.1250419041233657,0.1601898
D930016D06RIK,0.0208087641817708,0.279754304252281,0.1310760978880321,0.2286362
HIST1H4I,0.0207708501516644,0.2806315762034224,0.0848139456922561,0.055588637
RRP36,0.0207401974409735,0.2813421961113818,0.1320817968488099,0.13164218
1700003C15RIK,0.0207190947537224,0.2818321271957947,0.0033523298692591,0.0054229004
GM34354,0.0206869503293299,0.2825795200565791,0.0090512906469996,0.0061918567
PARP10,0.0206866169075594,0.2825872795056797,0.0170968823332215,0.0090405205
AURKB,0.0206792380328907,0.2827590389003142,0.0080455916862219,0.0069640838
MET,0.0206776262439408,0.2827965662106546,0.0653704324505531,0.75487435
ABCB6,0.0206655785410493,0.2830771799400355,0.1850486087831042,0.31128317
GM29683,0.0206503043045388,0.2834332167109973,0.0291652698625544,0.062556736
ZFP775,0.0206463633776753,0.2835251274261143,0.088836741535367,0.15083188
