gene,pearson_r,p,percent_cell,imp_sumup_norm
ZEB1,0.022104226671204655,0.021995708076273296,0.06789442417041501,0.16407596
POMGNT2,0.022102759919740794,0.02200451330890212,0.035531415315850516,0.032194566
BIN2,0.02210273110277314,0.02200468633423941,0.007977594840023763,0.013381788
USP54,0.022097054487766228,0.022038793441085933,0.02469659679198846,0.056743756
COL6A1,0.022089935177964162,0.02208163375584619,0.005261817873207163,0.0772603
CCDC124,0.022083179314064068,0.022122353997472866,0.15553481003705905,0.32045946
SSH2,0.022076764629578575,0.022161078241204855,0.039774816826501455,0.11094317
GM27247,0.022075274977533022,0.02217007941969327,0.005290107216611503,0.005509628
TSPYL5,0.022073388633273464,0.022181482160940198,0.04249059379331806,0.07140291
CIRH1A,0.022071416967395573,0.02219340611266165,0.016803869982177713,0.014113393
NT5M,0.022070856637751324,0.022196795808992326,0.0575971031712354,0.13096136
SCRT1,0.022068667112751218,0.022210045587745968,0.08229369996322386,0.31149116
STXBP5,0.022053705100102308,0.022300771510105344,0.04455571586183485,0.047448426
6030458C11RIK,0.022047852094175705,0.022336350260505185,0.016011768366856204,0.009702677
HADHA,0.022044155243606478,0.02235884777718782,0.04681886333418201,0.13009878
PLS1,0.022042220921629364,0.022370627115688536,0.020028855130272426,0.021699078
CNTN1,0.022041407138662306,0.022375584378905335,0.16354069422048714,0.19709915
PADI2,0.02204134712792682,0.022375949979787528,0.035842598093298254,0.1900959
ATG101,0.022037504905458048,0.022399368602984505,0.0494497722707856,0.13644221
FASTKD5,0.022036648363010843,0.022404592194281675,0.006478259639593765,0.004613242
NDUFA7,0.022031310747461577,0.022437167303587385,0.1555630993804634,0.30100954
UBTF,0.022001745310409212,0.022618349755414262,0.09341141192112931,0.19811384
VWA5B2,0.02199493873511126,0.022660241291252832,0.013069676652804889,0.014114364
A930004D18RIK,0.021981954868102158,0.02274033837626127,0.0022631474723471667,0.0033139465
KIF3A,0.021968827225592548,0.0228215723667692,0.10614161645308212,0.17382096
STUB1,0.02196644268111575,0.022836354974913875,0.1655209482587909,0.22794501
TSTA3,0.021951971067147035,0.02292624800847713,0.020538063311550538,0.012139196
